"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 25 00:15:36 GMT 2024","Mon Nov 25 00:15:36 GMT 2024","54","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","emptyIdFieldTest","Test Case: Project is created when ID field is empty",""
"passed","Mon Nov 25 00:15:35 GMT 2024","Mon Nov 25 00:15:35 GMT 2024","67","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","cyrillicCharacterIdFieldTest","Test Case: Internal Server Error when ID field contains a cyrillic character",""
"passed","Mon Nov 25 00:15:37 GMT 2024","Mon Nov 25 00:15:37 GMT 2024","63","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","randomStringLocatorFieldTest","Test Case: Project is created successfully when Locator field is a random String",""
"passed","Mon Nov 25 00:15:37 GMT 2024","Mon Nov 25 00:15:37 GMT 2024","59","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","missingIdFieldTest","Test Case: Project is created when ID field is missing",""
"passed","Mon Nov 25 00:15:35 GMT 2024","Mon Nov 25 00:15:35 GMT 2024","399","Surefire suite","Surefire test","org.example.teamcity.api.BuildTypeTestHomeWork","org.example.teamcity.api.BuildTypeTestHomeWork","userCreatesTwoBuildTypesWithTheSameIdTest","User should NOT be able to create two build types with the same id",""
"passed","Mon Nov 25 00:15:37 GMT 2024","Mon Nov 25 00:15:37 GMT 2024","45","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","onlySpecialCharacterNameFieldTest","Test Case: Project is created if Name field contains only special character",""
"passed","Mon Nov 25 00:15:36 GMT 2024","Mon Nov 25 00:15:36 GMT 2024","208","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","duplicatedLocatorTest","Test Case: Project is created with the same locator as another project",""
"passed","Mon Nov 25 00:14:19 GMT 2024","Mon Nov 25 00:15:13 GMT 2024","53859","Surefire suite","Surefire test","org.example.teamcity.ui.SetupServerTest","org.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Mon Nov 25 00:15:36 GMT 2024","Mon Nov 25 00:15:36 GMT 2024","148","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","duplicatedIdTest","Test Case: Project is NOT created with the same Id as another project",""
"passed","Mon Nov 25 00:15:37 GMT 2024","Mon Nov 25 00:15:37 GMT 2024","64","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","longNameFieldTest","Test Case: Project is created if Name is more than 200 characters long",""
"passed","Mon Nov 25 00:15:38 GMT 2024","Mon Nov 25 00:15:38 GMT 2024","58","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","specialCharacterIdFieldTest","Test Case: Internal Server Error when ID field contains a special character",""
"passed","Mon Nov 25 00:15:37 GMT 2024","Mon Nov 25 00:15:37 GMT 2024","43","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","missingNameFieldTest","Test Case: Bad request when project is created with null Name field",""
"passed","Mon Nov 25 00:15:37 GMT 2024","Mon Nov 25 00:15:37 GMT 2024","46","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","spaceCharacterNameFieldTest","Test Case: Project is created if Name field contains space character",""
"passed","Mon Nov 25 00:15:37 GMT 2024","Mon Nov 25 00:15:38 GMT 2024","738","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","specialCharLocatorFieldTest","Test Case: Project is created successfully when Locator field contains a special character",""
"passed","Mon Nov 25 00:15:37 GMT 2024","Mon Nov 25 00:15:37 GMT 2024","68","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","nullIdLocatorFieldsTest","Test Case: Project is created successfully when Locator field is NOT null AND ID field is null",""
"passed","Mon Nov 25 00:15:36 GMT 2024","Mon Nov 25 00:15:36 GMT 2024","138","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","duplicatedNameTest","Test Case: Project is NOT created with the same name as another project",""
"passed","Mon Nov 25 00:15:35 GMT 2024","Mon Nov 25 00:15:36 GMT 2024","134","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","deleteProjectTest","Test Case: user can delete the project",""
"passed","Mon Nov 25 00:15:30 GMT 2024","Mon Nov 25 00:15:33 GMT 2024","2092","Surefire suite","Surefire test","org.example.teamcity.api.BuildTypeTestHomeWork","org.example.teamcity.api.BuildTypeTestHomeWork","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project Admin should NOT be able to create buildType for not their project",""
"passed","Mon Nov 25 00:15:34 GMT 2024","Mon Nov 25 00:15:34 GMT 2024","442","Surefire suite","Surefire test","org.example.teamcity.api.BuildTypeTestHomeWork","org.example.teamcity.api.BuildTypeTestHomeWork","userCreatesBuildTypeTest","User should be able to create a build type",""
"passed","Mon Nov 25 00:15:37 GMT 2024","Mon Nov 25 00:15:37 GMT 2024","65","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","projectCreatedSuccessfullyTest","Test Case: Successful project creation",""
"passed","Mon Nov 25 00:15:33 GMT 2024","Mon Nov 25 00:15:34 GMT 2024","715","Surefire suite","Surefire test","org.example.teamcity.api.BuildTypeTestHomeWork","org.example.teamcity.api.BuildTypeTestHomeWork","projectAdminCreatesBuildTypeTest","Project Admin should be able to create build type for their project",""
