"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 24 04:17:41 GMT 2024","Sun Nov 24 04:17:41 GMT 2024","55","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","randomStringLocatorFieldTest","Test Case: Project is created successfully when Locator field is a random String",""
"passed","Sun Nov 24 04:17:41 GMT 2024","Sun Nov 24 04:17:41 GMT 2024","65","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","projectCreatedSuccessfullyTest","Test Case: Successful project creation",""
"passed","Sun Nov 24 04:17:40 GMT 2024","Sun Nov 24 04:17:40 GMT 2024","120","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","duplicatedNameTest","Test Case: Project is NOT created with the same name as another project",""
"passed","Sun Nov 24 04:17:40 GMT 2024","Sun Nov 24 04:17:40 GMT 2024","86","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","missingIdFieldTest","Test Case: Project is created when ID field is missing",""
"passed","Sun Nov 24 04:17:40 GMT 2024","Sun Nov 24 04:17:40 GMT 2024","51","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","missingNameFieldTest","Test Case: Bad request when project is created with missing Name field",""
"passed","Sun Nov 24 04:17:41 GMT 2024","Sun Nov 24 04:17:41 GMT 2024","51","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","specialCharacterNameFieldTest","Test Case: Project is created if Name field contains special character",""
"passed","Sun Nov 24 04:17:40 GMT 2024","Sun Nov 24 04:17:40 GMT 2024","61","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","longNameFieldTest","Test Case: Project is created if Name is more than 200 characters long",""
"passed","Sun Nov 24 04:17:40 GMT 2024","Sun Nov 24 04:17:40 GMT 2024","77","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","emptyIdFieldTest","Test Case: Project is created when ID field is empty",""
"passed","Sun Nov 24 04:16:26 GMT 2024","Sun Nov 24 04:17:16 GMT 2024","50230","Surefire suite","Surefire test","org.example.teamcity.ui.SetupServerTest","org.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sun Nov 24 04:17:41 GMT 2024","Sun Nov 24 04:17:41 GMT 2024","87","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","onlySpecialCharacterNameFieldTest","Test Case: Project is created if Name field contains only special character",""
"passed","Sun Nov 24 04:17:40 GMT 2024","Sun Nov 24 04:17:40 GMT 2024","34","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","emptyNameFieldTest","Test Case: Bad request when project is created with empty Name field",""
"passed","Sun Nov 24 04:17:41 GMT 2024","Sun Nov 24 04:17:41 GMT 2024","33","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","spaceCharacterIdFieldTest","Test Case: Internal Server Error when ID field contains a space character",""
"passed","Sun Nov 24 04:17:38 GMT 2024","Sun Nov 24 04:17:38 GMT 2024","473","Surefire suite","Surefire test","org.example.teamcity.api.BuildTypeTestHomeWork","org.example.teamcity.api.BuildTypeTestHomeWork","userCreatesTwoBuildTypesWithTheSameIdTest","User should NOT be able to create two build types with the same id",""
"passed","Sun Nov 24 04:17:41 GMT 2024","Sun Nov 24 04:17:41 GMT 2024","68","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","specialCharLocatorFieldTest","Test Case: Project is created successfully when Locator field contains a special character",""
"passed","Sun Nov 24 04:17:39 GMT 2024","Sun Nov 24 04:17:39 GMT 2024","119","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","duplicatedIdTest","Test Case: Project is NOT created with the same Id as another project",""
"passed","Sun Nov 24 04:17:41 GMT 2024","Sun Nov 24 04:17:41 GMT 2024","51","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","spaceCharacterNameFieldTest","Test Case: Project is created if Name field contains space character",""
"passed","Sun Nov 24 04:17:37 GMT 2024","Sun Nov 24 04:17:38 GMT 2024","537","Surefire suite","Surefire test","org.example.teamcity.api.BuildTypeTestHomeWork","org.example.teamcity.api.BuildTypeTestHomeWork","userCreatesBuildTypeTest","User should be able to create a build type",""
"passed","Sun Nov 24 04:17:33 GMT 2024","Sun Nov 24 04:17:35 GMT 2024","1874","Surefire suite","Surefire test","org.example.teamcity.api.BuildTypeTestHomeWork","org.example.teamcity.api.BuildTypeTestHomeWork","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project Admin should NOT be able to create buildType for not their project",""
"passed","Sun Nov 24 04:17:39 GMT 2024","Sun Nov 24 04:17:39 GMT 2024","606","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","deleteProjectTest","Test Case: user can delete the project",""
"passed","Sun Nov 24 04:17:36 GMT 2024","Sun Nov 24 04:17:37 GMT 2024","1011","Surefire suite","Surefire test","org.example.teamcity.api.BuildTypeTestHomeWork","org.example.teamcity.api.BuildTypeTestHomeWork","projectAdminCreatesBuildTypeTest","Project Admin should be able to create build type for their project",""
"passed","Sun Nov 24 04:17:41 GMT 2024","Sun Nov 24 04:17:41 GMT 2024","38","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","specialCharacterIdFieldTest","Test Case: Internal Server Error when ID field contains a special character",""
"passed","Sun Nov 24 04:17:41 GMT 2024","Sun Nov 24 04:17:41 GMT 2024","84","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","nullIdLocatorFieldsTest","Test Case: Project is created successfully when Locator field is NOT null AND ID field is null",""
"passed","Sun Nov 24 04:17:38 GMT 2024","Sun Nov 24 04:17:38 GMT 2024","88","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","cyrillicCharacterIdFieldTest","Test Case: Internal Server Error when ID field contains a cyrillic character",""
"passed","Sun Nov 24 04:17:39 GMT 2024","Sun Nov 24 04:17:40 GMT 2024","226","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","duplicatedLocatorTest","Test Case: Project is created with the same locator as another project",""
