"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 24 03:19:19 GMT 2024","Sun Nov 24 03:19:19 GMT 2024","49","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","randomStringLocatorFieldTest","Test Case: Project is created successfully when Locator field is a random String",""
"passed","Sun Nov 24 03:19:19 GMT 2024","Sun Nov 24 03:19:19 GMT 2024","64","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","projectCreatedSuccessfullyTest","Test Case: Successful project creation",""
"passed","Sun Nov 24 03:19:19 GMT 2024","Sun Nov 24 03:19:19 GMT 2024","59","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","nullIdLocatorFieldsTest","Test Case: Project is created successfully when Locator field is NOT null AND ID field is null",""
"passed","Sun Nov 24 03:19:19 GMT 2024","Sun Nov 24 03:19:19 GMT 2024","50","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","specialCharLocatorFieldTest","Test Case: Project is created successfully when Locator field contains a special character",""
"passed","Sun Nov 24 03:19:17 GMT 2024","Sun Nov 24 03:19:17 GMT 2024","388","Surefire suite","Surefire test","org.example.teamcity.api.BuildTypeTestHomeWork","org.example.teamcity.api.BuildTypeTestHomeWork","userCreatesTwoBuildTypesWithTheSameIdTest","User should NOT be able to create two build types with the same id",""
"passed","Sun Nov 24 03:19:18 GMT 2024","Sun Nov 24 03:19:18 GMT 2024","53","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","emptyIdFieldTest","Test Case: Project is created when ID field is empty",""
"passed","Sun Nov 24 03:19:17 GMT 2024","Sun Nov 24 03:19:18 GMT 2024","142","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","deleteProjectTest","Test Case: user can delete the project",""
"passed","Sun Nov 24 03:19:18 GMT 2024","Sun Nov 24 03:19:18 GMT 2024","126","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","duplicatedIdTest","Test Case: Project is NOT created with the same Id as another project",""
"passed","Sun Nov 24 03:19:20 GMT 2024","Sun Nov 24 03:19:20 GMT 2024","44","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","specialCharacterNameFieldTest","Test Case: Project is created if Name field contains special character",""
"passed","Sun Nov 24 03:19:17 GMT 2024","Sun Nov 24 03:19:17 GMT 2024","72","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","cyrillicCharacterIdFieldTest","Test Case: Internal Server Error when ID field contains a cyrillic character",""
"passed","Sun Nov 24 03:19:19 GMT 2024","Sun Nov 24 03:19:19 GMT 2024","41","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","onlySpecialCharacterNameFieldTest","Test Case: Project is created if Name field contains only special character",""
"passed","Sun Nov 24 03:19:18 GMT 2024","Sun Nov 24 03:19:18 GMT 2024","75","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","emptyNameFieldTest","Test Case: Bad request when project is created with empty Name field",""
"passed","Sun Nov 24 03:19:19 GMT 2024","Sun Nov 24 03:19:19 GMT 2024","44","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","spaceCharacterIdFieldTest","Test Case: Internal Server Error when ID field contains a space character",""
"passed","Sun Nov 24 03:19:12 GMT 2024","Sun Nov 24 03:19:14 GMT 2024","2101","Surefire suite","Surefire test","org.example.teamcity.api.BuildTypeTestHomeWork","org.example.teamcity.api.BuildTypeTestHomeWork","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project Admin should NOT be able to create buildType for not their project",""
"passed","Sun Nov 24 03:19:20 GMT 2024","Sun Nov 24 03:19:20 GMT 2024","34","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","specialCharacterIdFieldTest","Test Case: Internal Server Error when ID field contains a special character",""
"passed","Sun Nov 24 03:19:16 GMT 2024","Sun Nov 24 03:19:16 GMT 2024","448","Surefire suite","Surefire test","org.example.teamcity.api.BuildTypeTestHomeWork","org.example.teamcity.api.BuildTypeTestHomeWork","userCreatesBuildTypeTest","User should be able to create a build type",""
"passed","Sun Nov 24 03:19:18 GMT 2024","Sun Nov 24 03:19:19 GMT 2024","57","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","longNameFieldTest","Test Case: Project is created if Name is more than 200 characters long",""
"passed","Sun Nov 24 03:19:18 GMT 2024","Sun Nov 24 03:19:18 GMT 2024","89","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","duplicatedNameTest","Test Case: Project is NOT created with the same name as another project",""
"passed","Sun Nov 24 03:19:19 GMT 2024","Sun Nov 24 03:19:19 GMT 2024","57","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","spaceCharacterNameFieldTest","Test Case: Project is created if Name field contains space character",""
"passed","Sun Nov 24 03:19:19 GMT 2024","Sun Nov 24 03:19:19 GMT 2024","49","Surefire suite","Surefire test","org.example.teamcity.api.ProjectTest","org.example.teamcity.api.ProjectTest","missingIdFieldTest","Test Case: Project is created when ID field is missing",""
